,Repository Name with Owner,ProjectIDLibrariesio,Platform,Lib_Name,Dependent Projects Count,ProjectOwner,ProjectName,ProjectIDGHTorrent,Vindex,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments
730,twisted/twisted,84662,Pypi,Twisted,40,twisted,twisted,8871,1,2658,2761,104,11604,0,0,1,36,4,4,0,5
735,glyph/txsni,84951,Pypi,TxSNI,1,glyph,txsni,8976602,0,1654,21,3,26,5,18,180,0,0,1,1,1
737,regebro/tzlocal,85081,Pypi,tzlocal,5,regebro,tzlocal,776824,2,2220,69,4,133,21,0,0,191,0,0,1,2
740,mrocklin/unification,85394,Pypi,unification,1,mrocklin,unification,10598194,0,1560,30,1,32,0,0,0,641,0,0,0,7
743,upyun/python-sdk,85609,Pypi,upyun,1,upyun,python-sdk,3056769,0,2038,98,10,138,11,0,48,10,0,1,0,32
744,uri-templates/uritemplate-py,85657,Pypi,uritemplate,7,uri-templates,uritemplate-py,10681,1,2345,79,1,17,7,0,0,2123,204,0,0,1
745,jehiah/urlnorm,85704,Pypi,urlnorm,2,jehiah,urlnorm,428758,0,3009,43,5,18,3,0,21,0,0,0,0,2
749,Turbo87/utm,85892,Pypi,utm,1,Turbo87,utm,2400538,0,2111,83,2,80,13,0,0,1012,0,0,0,1
750,kvesteri/validators,86019,Pypi,validators,4,kvesteri,validators,5930004,0,1819,186,13,188,14,0,253,0,0,1,0,3
753,habnabit/vcversioner,86174,Pypi,vcversioner,1,habnabit,vcversioner,4507719,0,1922,32,2,50,3,0,8,189,9,0,0,5
759,eventable/vobject,86722,Pypi,vobject,3,eventable,vobject,30980431,1,999,104,6,193,55,0,0,47,0,3,7,2
762,Pylons/waitress,86976,Pypi,waitress,12,Pylons,waitress,117362,0,2489,408,17,364,82,0,61,0,0,0,0,4
765,aperezdc/hipack-python,87166,Pypi,wcfg,1,aperezdc,hipack-python,22441797,0,1450,1,2,39,4,66,0,140,132,0,0,3
766,jquast/wcwidth,87177,Pypi,wcwidth,3,jquast,wcwidth,9067275,1,1649,110,3,144,8,0,0,207,1,0,0,4
769,level12/webgrid,87337,Pypi,WebGrid,2,level12,webgrid,33089883,1,950,3,5,109,8,0,6,40,369,0,0,5
772,aaugustin/websockets,87475,Pypi,websockets,4,aaugustin,websockets,3281689,0,2020,1621,22,957,297,0,2,0,0,1,6,4
773,gi0baro/weppy,87620,Pypi,weppy,1,gi0baro,weppy,12804835,0,1451,628,6,1017,154,0,0,0,2,1,0,2
774,pallets/werkzeug,87626,Pypi,Werkzeug,30,pallets,werkzeug,34181933,1,2914,1932,92,534,183,0,0,0,0,2,34,3
775,pypa/wheel,87698,Pypi,wheel,22,pypa,wheel,70505245,1,442,91,10,123,103,0,4,0,0,31,3,2
