,Repository Name with Owner,ProjectIDLibrariesio,Platform,Lib_Name,Dependent Projects Count,ProjectOwner,ProjectName,ProjectIDGHTorrent,Vindex,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments
621,joel-costigliola/assertj-assertions-generator,343358,Maven,org.assertj:assertj-assertions-generator,1,joel-costigliola,assertj-assertions-generator,3263602,0,2036,38,11,182,56,0,5,1,1,1,8,5
1381,blacklocus/queue-slayer,353194,Maven,com.blacklocus.queue-slayer:qs-core,2,blacklocus,queue-slayer,7138255,1,1765,5,5,147,7,140,0,181,0,0,0,12
624,tupilabs/tap4j,343404,Maven,org.tap4j:tap4j,1,tupilabs,tap4j,1496293,0,2718,11,4,181,26,138,612,19,26,9,32,7
636,ngs-doo/dsl-client-java,343543,Maven,com.dslplatform:dsl-client-http-apache,1,ngs-doo,dsl-client-java,4440804,0,1916,10,4,150,4,488,186,558,1027,0,0,11
643,sonatype/sisu-jetty-testsuite,343642,Maven,org.sonatype.plexus:plexus-jetty-testsuite,2,sonatype,sisu-jetty-testsuite,201161,2,2731,0,5,10,0,2,0,0,6,2,1,3
648,maxmind/geoip-api-java,343688,Maven,com.maxmind.geoip:geoip-api,6,maxmind,geoip-api-java,152471,1,2304,155,8,114,14,0,0,56,0,1,0,1
919,bmwcarit/joynr,347179,Maven,io.joynr.java.messaging:servlet-common,7,bmwcarit,joynr,5645010,2,1827,59,36,3434,15,0,0,142,0,0,60,11
661,facebook/rebound,343835,Maven,com.facebook.rebound:rebound,1,facebook,rebound,6075528,0,1826,4615,6,186,28,0,0,38,0,0,0,3
676,SonarQubeCommunity/sonar-findbugs,344027,Maven,org.codehaus.sonar-plugins.java:sonar-findbugs-plugin,1,SonarQubeCommunity,sonar-findbugs,34450188,0,1563,55,5,70,71,0,266,0,0,0,1,3
677,oxo42/stateless4j,344036,Maven,com.github.oxo42:stateless4j,2,oxo42,stateless4j,9019994,0,1650,354,9,96,28,0,0,1,0,51,3,1
